,re_id,topic,comment
0,582286,一晚嚐盡。川京粵菜,"<section class=""review-container"">
<br/><br/>金公館位於太古康怡廣場，一出地鐵直達廣場再上三樓就到達，十分方便。地方簡潔乾淨，門口位置有京劇壁畫，很有特色。內進有舒適的卡座，旁邊放有自動充水及煮滾的水壺，略卻要找職員添茶的麻煩，十分方便！<br/><br/><br/>**茶芥 $13/位**<br/>**花生小食 $10/碟**<br/><br/>


<br/>金公館除了主打四川菜，還有粵菜和京菜，三款都是我杯茶。今晚只有二人兩個胃，簡單點了幾款菜式：<br/><br/>

<br/>《白肺湯 $58*2》<br/>職員大力推介是餐廳的招牌湯，所以點了兩盅。<br/>湯奶白色有微微杏香，湯中有豬朋、雞腳等湯料。<br/><br/>

<br/>《雞絲粉皮$62》麻醬夠惹味，粉皮爽口，雞絲入口份量多。<br/><br/>

<br/>《招牌口水雞$88例牌》口水雞是一道經典的四川涼菜，口感麻辣鮮香，雞肉嫩滑，惹味。<br/><br/>

<br/>有片皮鴨，必試。<br/><br/>



<br/>《片皮鴨半隻$238 半隻》<br/>半隻份量都足夠3人共享。片皮鴨撇走多餘脂肪後更加突出片皮鴨的香脆口感，再送上醬汁配料就更加美味。<br/><br/>

<br/>《四川擔擔麵$48》<br/>麵底份量大，足夠2-3人分享。湯底夠麻醬，是我杯茶，加上麻辣夠開胃，湯質地亦不會太杰，濃稠度剛好。<br/><br/>

<br/>《紅糖糍粑$42》<br/>外層有咬口，內裡煙韌好吃，必定要配上黃豆粉及紅糖醬才提味，職員更細心替我添加紅糖醬！<br/><br/><br/>環境舒適有私密感，完全不嘈吵，可以舒舒服服跟朋友邊吃邊談，職員們亦好客有禮。
                </section>"
1,582286,大件夾抵食嘅二人套餐和酸魚！,"<section class=""review-container"">
                    昨晚去咗康怡廣場3樓，被一間有齊京、川、粵菜式供應嘅食肆「金公館」的大型京劇畫報吸引住，而且覺得門口post出嚟嘅菜式都幾合胃口，於是入咗去食晚飯。<br/>



<br/>老壇子酸菜魚半份（$148）<br/>

<br/><br/>第一次食酸菜魚，半份已經好大盆，兩個人食係食唔晒嘅！唔食得辣可以要求小辣。一上枱賣相已經相當吸引，先嚐一口，湯底濃郁，材料除魚片外，還有勁多配菜如鹹酸菜、辣椒乾、萵筍、芝麻、葱等等，味道又酸又辣，極其醒胃。桂花魚肉片分量比預期多，薄切，肉質好軟滑，味道鮮甜可口，魚油甘香美味。<br/><br/>二人套餐（$438）<br/>呢個套餐非常之抵食，四百幾蚊有七樣嘢食，好豐富呀！<br/><br/>香蔥雞蛋豆乾粒<br/>

<br/>呢款涼菜好香蔥油味，豆干豆味濃，質感爽夾滑。<br/><br/>清城山杏汁白肺湯<br/>

<br/>自己唔會整，嫌功夫又多又煩，難得呢個套餐有呢個杏汁白肺湯，當然唔可以錯過。湯底既美味又滋潤，還有淡淡的杏仁香味。雖然個盅唔係太大，但係煲湯料都好多，有白菜、豬肺、豬肉、雞腳等，認真足料。<br/><br/>烤北京填鴨（半隻）<br/>

<br/>皮脆，肉嫩，最好的是上枱前啲肥油已經被切走，所以唔會食到成口油。摩摩皮夠薄身，而且每片都隔有一張紙，唔拍黐埋一齊， 而且仲可保存摩摩皮嘅熱度。配料有青瓜、大蒜、萵筍，仲有哈密瓜條。醬汁也有三四款之多。<br/><br/>咕嚕蝦球<br/>

<br/>蝦球大大隻，二人份量都有七至八隻。配菜除了三色椒及洋蔥外，還有新鮮菠蘿。蝦肉爽口兼彈牙。<br/><br/>靈芝菇炒萵筍絲<br/>

<br/>萵筍刨成麵條狀，份量不少。萵筍好爽脆，用嚟炒靈芝菇，好味得嚟又健康。<br/><br/>京式小籠包<br/>

<br/>一啖一口，每人兩隻剛剛好。豬肉餡料鮮甜又爆汁，如果皮底薄返少少就更好。<br/><br/>杞子桂花糕<br/>

<br/>大大件，杞子和桂花足料，既清甜又冰涼，口感彈牙，吾會大淋身。<br/><br/>呢個套餐和酸魚，真係大件夾抵食，唔怪之得雖然昨天是星期四，都好多客人幫襯。<br/>
</section>"
2,582286,京川菜金公館·小菜小炒推介,"<section class=""review-container"">
<br/>📍金公館<br/>📍Jin Gong Guan <br/><br/>🇭🇰香港太古康山道1-2號康怡廣場3樓T4號舖<br/>🇭🇰 Shop T4, 3/F, Kornhill Plaza, 1-2 Kornhill Road, Tai Koo, HK<br/><br/>🌐太古 🌐將軍澳<br/><br/>人均消費: HKD286<br/><br/>味道: 👅👅👅👅<br/>賣相: 👀👀👀👀👀<br/>價格: 💰💰💰💰<br/>環境: 🌹🌹🌹🌹<br/>服務: 👨🏻<br/>性價比: ⭐️⭐️⭐️⭐️<br/>回頭率: 🔆🔆🔆🔆<br/><br/>最近食得太多日本菜，食一下我第二喜歡的中菜🤣 今天食康怡廣場金公館的京川菜！<br/>近年真的有很多什麼館什麼館什麼館的中菜😂<br/>地點方便，但人真的超多！<br/>

<br/><br/>📋二人套餐 $438<br/>二人餐包括前菜等有七道菜，跟單點相比便宜得多，例如說：我點半隻北京填鴨+兩個湯都$300多，所以我們四人點了一個二人餐比較划算🙊<br/><br/><br/>🆗香蔥雞蛋豆乾粒🥢<br/>豆乾做佐料食得多，直接當前菜食就未試過<br/>坦白說，香蔥我覺得不需要🤣<br/>豆乾口感偏硬，咬下去比較實。而豆乾是沒有雞蛋味的，乾脆叫豆乾粒會比較實際🙊<br/>

<br/><br/>⭐️青城山杏汁白肺湯🥣<br/>我自己對杏仁比較抗拒，但杏汁白肺湯工序麻煩，不多餐廳有，所以都要試試！<br/>一碗不多，裡面有雞腳，豬肉，菜乾等，杏汁味很淡，但湯清甜，感覺很潤喉潤肺，絕不是味精湯<br/>

<br/><br/>👎🏻烤北京填鴨🦆<br/>食得京川菜當然對北京填鴨有所期待，誰不知真的失望！<br/>鴨一共分16片，怎樣都看不出是半隻鴨，皮薄得像豬肉紙一樣，但又硬又不香<br/>摩摩皮不錯，配料還可以，但醬料不行，尤其蘇梅醬，又酸又怪<br/>鴨肉眼看又乾又瘦，食又無味，口感有點似豬肉乾😂😂😂<br/>

<br/><br/>💯咕嚕蝦球🦐<br/>我沒想過咕嚕竟然會有比肉更好味的做法<br/>蝦球有差不多十隻，而且大隻！事先拉油，特別香口，加上咕嚕汁酸酸甜甜，蝦球熱辣辣，絕對開胃菜！<br/>單點$148，套餐抵食！ <br/>

<br/><br/>⭐️靈芝菇炒萵筍絲🥒<br/>所謂靈芝菇，其實就是鴻喜菇，可鄰的有三五條🤣🤣🤣<br/>菇不理，萵筍絲幼幼，有點像食麵，清清甜甜，可以解解辣👌🏻<br/>

<br/><br/>💯京式小籠包🥟<br/>小籠包賣相可真醜，好似骷髏骨頭，瘦得都凹凹的💀<br/>不過想不到裡面好多湯，皮也不易破掉，重點是湯仍然是辣口的，而且味道很不錯！<br/>

<br/><br/>💯杞子桂花糕🍮<br/>套餐最後的是杞子桂花糕，桂花糕清甜爽口，而且寄至十分多，滿意<br/><br/>四人食二人套餐當然不夠！另外再點其他滿足一下味蕾！<br/><br/>⭐️夫妻肺片🐮$68<br/>川菜經典當然要試！材料頗多，牛肺牛舌牛肉等到有食到，份量算不錯！<br/>但麻辣程度不可忽視！辣還算可以接受，但會越食越麻<br/>

<br/><br/>👎🏻老壇子酸菜魚🐟$148<br/>作為酸菜魚愛好者，就點了一份細分的試試！<br/>魚似是鱸魚，但魚味淡，而且很多小骨<br/>湯底比較似麻辣，試了一口湯頂不了<br/>裏面有很多萵筍和薯粉，但酸菜十分少，而且選得十分過分，沒有了酸菜魚的靈魂💀<br/>確實是失望😔<br/>

<br/><br/>🆗乾鍋豬大腸🐷$118<br/>以前到大陸必定點的乾鍋豬大腸！一上枱嚇死！因為我冇意識到是乾椒這種🙊<br/>豬大腸一片片，而且乾身，應該是有炸過的，好咁又點硬<br/>麻辣程度真的有點恐怖！但我覺得十分惹味！若豬大腸沒這麼乾身的話是可以一試的<br/>

<br/><br/>💯蜜椒鱔球🐍$98<br/>蜜椒鱔球是另一驚喜！ 鱔球微微炸過，加上外層的蜜汁，配搭十分惹味！另外佢豉椒做法亦十分新穎！$98十分抵食！<br/>

<br/><br/>⭐️炸饅頭🥠$48<br/>炸饅頭熱辣辣，裡頭軟熟，不錯<br/>

<br/><br/>今次評分有點尷尬，因為最期待的北京填鴨和酸菜魚的確十分失望！<br/>但其他菜式其實都頗為出色，加上價錢不貴，性價比高，所以餐廳還算是值得一試！<br/>不要食北京填鴨和酸菜魚就好了🤣🤣🤣<br/><br/>但有件事的確不吐不快:<br/>電話訂枱時只可以訂7:00/8:00（其實我發現有人訂到7:30），其他時間都要walk in<br/>我訂了8:00，7:30已到，人多的嚇死！店員完全忙到門口一個人都沒有！ 我一直等到8點才有人理我，他是不會按你訂枱時間安排入座，而是訂了枱的人要再拿籌再等，但途中完全沒有人問你是否已訂枱，亦沒有說要等多久，想找人也找不到，十分無助！<br/>重點是其實很多人都訂了枱，但他還是會先讓給Walk in拿籌的人！真的要改善一下！<br/>
</section>"
3,582286,一次過品嚐~京川粵菜式,"<section class=""review-container"">
                       位於港鐵太古站A2出口的康怡廣場內有不少食店。<br/>   今晚好友約了在廣場三樓的""金公館""晚飯，聽名字頗有品位！<br/>   第一次來這個廣埸很有新鮮感！<br/>""金公館""的門面令人眼前一亮！<br/>京戲人物畫像鏡面作裝飾很有氣派！<br/>

<br/>

<br/>內部裝潢也很清雅，卡位有磨沙玻璃相間各有空間。<br/>

<br/>坐在卡位上感覺舒適！<br/>自助加水機非常方便……<br/>

<br/>翻開餐牌不少精緻南北美食選擇，尤其是川式小食非常吸引！<br/>價格親民，性價比高！<br/>

<br/>好友建議今晚一於吃齊京川粵菜！<br/>先點個川味小食<br/>紅油豬耳 $ 52<br/>話説小食但份量也不少，豬耳爽口有嚼勁！醬汁麻而少辣很惹味！<br/>

<br/>烤北京填鴨(半隻) $ 238<br/>皮很脆，配上醬汁及配料非常香脆美味！<br/>稍嫌皮太簿，若有些脂肪可能會便香口！<br/>

<br/>醬汁配搭比一般的特別……<br/>桂花，海鮮，芝麻和酸梅等醬汁。<br/>由於中間有熱水暖着，摩摩皮非常鬆軟，有溫度！<br/>配料除了青瓜，西芹，京葱外還有哈蜜瓜，味道非常之夾！<br/>

<br/>椒塩鮮魷 $ 72<br/>外皮夠鬆脆，肉質嫩！<br/>

<br/>翠湖紅燒豆腐 $ 88<br/>值得一讚！ 豆腐非常嫩滑！<br/>整個菜很爽口！<br/>

<br/>蜜椒鱔球 $ 98<br/>嫩滑肥美鱔球啖啖肉，酸甜茨汁醒胃，配菜又爽甜！<br/>

<br/>好味道！這頓晚飯太滿足了！<br/>埋單前還買了現金卷即時使用，多一重着數！<br/>

</section>"
4,582286,❤飲食❤ 美味烤北京填鴨 ~ 金公館,"<section class=""review-container"">
                    難得可以約到好朋友食晚飯, <br/>就約她公司附近食晚飯就來到太古<b>金公館</b>。<br/>




店以中式現代裝修,地方寬闊有多張圓台及卡位座選擇。<br/>*<br/>*<br/>點了<b>二人套餐 $438 </b>, 有七款食物<br/>


*<br/>好有效率, 好快送上來<br/>


*<br/>*<br/><b>【香蔥雞蛋豆乾粒】</b><br/>


雞蛋豆乾粒是由雞蛋及豆而製成,口感及味道似豆腐乾,<br/>具有淡淡雞蛋香配香蔥,是不錯前菜。 <br/>*<br/>*<br/><b>【青城山杏汁白肺湯】</b><br/>



 這的豬肺湯具滋潤功效,並加入了杏汁,<br/>入口更清甜滑溜美味,一定要趁熱飲呢!<br/>*<br/>*<br/><b>【烤北京填鴨】 (半隻)</b><br/>




這鴨皮帶鬆化帶點油份不會過肥,<br/>皮又帶點脆,真的酥香撲鼻,十分甘香,<br/>附有嫩鴨肉,可配京蔥,<br/>是配以青瓜和哈蜜瓜(好特別)帶點爽脆,<br/>還點特製多款醬,把好薄的薄餅捲起來,<br/>忍不住一口接一口吃,回味無窮。<br/><b>*</b><br/><b>*</b><br/><b>【</b><b>靈芝菇炒萵荀絲】</b><br/><b>

</b>萵荀絲炒得不油膩,<br/>其入口爽又鮮,配上靈芝菇更多鮮味。<br/><b>*</b><br/><b>*</b><br/><b>【</b><b>咕嚕蝦球】</b><br/>



看似簡單咕嚕蝦球,想不到入口無比外脆內軟,<br/>加上醬汁甜甜酸酸,令人胃口全開,一陣子已經食左大半碟。<br/>*<br/>*<br/><b>【</b><b>京式小籠包】</b><br/>



小籠肉餡肥瘦比例適中,外皮不算厚,<br/>可惜湯汁不是很多,稍為蒸得過耐。<br/>*<br/>*<br/>另點<b>【</b><b>酥炸桶蠔</b><b>】</b> $188<br/>



炸蠔外皮炸漿簿身香脆可口,<br/>有濃濃蠔味,是佐酒不錯小食及小菜。<br/>*<br/>*<br/>【杞子桂花糕】<br/>


桂花糕軟滑、彈牙口感,味道清清甜的桂花清香味。
                </section>"
5,582286,京川粵菜,"<section class=""review-container"">
                    來到金公館食扁皮鴨， 金公館位置很方便，位於太古地鐵站上蓋。<br/><br/>椒鹽魷魚<br/>椒鹽魷魚炸到卜卜脆，炸的時間剛好，不會油膩。



    
<br/><br/>北京填鴨<br/>切得很漂亮，鴨皮沒有一點脂肪，摩摩皮伴隨着是四種醬汁（最特別是桂花醬）及四種配菜（ 哈密瓜，葱，青瓜，西芹）。反而用桂花醬配北京填鴨有驚喜。<br/>

<br/>




二食- 豆腐鴨湯<br/>材料有鴨，豆腐及菜。濃郁的鴨味，及份量很充足。



    
<br/><br/>蜜汁叉燒<br/>一上碟，見到蜜汁叉燒肥瘦均勻，咬落去唔會老， 有口感。



    
<br/><br/> 擂沙湯丸<br/>一共有3粒，擺碟精緻，咬落去，芝麻汁流出來，甜度適中。



    
<br/><br/>紅糖糍粑<br/>外脆內軟有口感。



    
<br/><br/>
</section>"
6,582286,茶聚,"<section class=""review-container"">
                    約咗好耐冇見嘅舊同事係太古城康怡廣場嘅金公館飲茶。<br/><br/>《金公館》個名聽落好似上海D高級別墅😂原來佢係一家集粵、京、川、滬嘅菜館。店內有大大張壁劃相當揚眼！我只知道佢哋係“大花面”🤭,吾知你哋又識吾識京川粵劇面相點分同有咩特徵呢?<br/><br/>坐落一陣,叫咗壺香片。估吾到呢度採用自動加水同煲水,自己㩒個制就搞掂,相當方便！<br/><br/>我哋點咗幾個點心<br/><div class=""or-sprite-inline-block write-re-icon-chopstick""></div>蘿蔔千絲酥<br/>外皮一層層酥脆,內裡蘿蔔蓉鮮甜<br/><div class=""or-sprite-inline-block write-re-icon-chopstick""></div>碧綠鮮蝦腸<br/>腸粉吾太厚,入口算滑,裡面d蝦都幾大隻爽口<br/><div class=""or-sprite-inline-block write-re-icon-chopstick""></div>黑椒金錢肚<br/>金錢肚軟腍,有d蘿蔔係底<br/><div class=""or-sprite-inline-block write-re-icon-chopstick""></div>杏片原籠馬拉糕<br/>馬拉糕鬆軟,上面有好多杏片<br/><div class=""or-sprite-inline-block write-re-icon-chopstick""></div>蠔皇鮮竹卷<br/>外皮軟糯,內餡多汁<br/><br/>呢度都幾受歡迎,午市同下午茶都幾多人等位！<br/>

<br/>

<br/>

<br/>

<br/>

<br/>

<br/>

<br/>

<br/>

<br/>

</section>"
7,582286,行政有問題，對食客講大話！,"<section class=""review-container"">
                    七點十五分，叫了一個餐內有小籠包一客，<br/>八點幾其他嘢上齊，吹了小籠三次也未到！<br/>八點三左右，經理同我地講小籠包賣晒（隔離枱也有不滿），要求轉其他食，咁早無小籠包之前D員工又唔覆就一定不滿，最後我估逼佢也無用，結果轉了其他食物！<br/>八點半，見到對面見隔離枱（他們起碼係八點入座）上小籠包！即時叫經理嚟，佢話「你地話轉其他食物ok」,我話「你騙我左先」結果說幾句唔好意思，笑一笑就走開！<br/><br/>原來早到唔一定有得你跟餐的食物，遲到就會有！<br/>
</section>"
8,582286,京川粵菜北京填鴨,"<section class=""review-container"">
                    今晚嚟到太古康怡廣場嘅金公館，一次過嘗試吓京川粵菜。頭盤叫咗個雞絲粉皮，胡麻鮮淮山，仲有我最鍾意嘅椒鹽九肚魚，質素都唔錯，特別係椒鹽九肚魚，炸粉唔會太厚，九肚魚味突出。之後再叫咗個靈芝菇萵筍絲，我從來未食過呢一種菜，感覺好新鮮。然後，就係今晚嘅主角烤北京填鴨半隻，北京填鴨皮脆，肉厚，唔會太多肥膏，正合我心意。特別鍾意有桂花嘅醬，甜甜地，好適合。今日特別想食，好彩中餐廳嘅都唔錯，我哋叫咗雷沙湯丸，入面熱辣辣嘅芝麻超級好味，又叫咗杞子桂花糕同桂花冰粉，特別適合而家越嚟越熱嘅天氣。



    









</section>"
9,582286,出色片皮鴨,"<section class=""review-container"">
                    今日陪屋企人去開太古食飯，當中有家人強烈推介呢間金公館作晚餐，於是去試一試先。<br/>餐廳座位都相當多，即使假日時，相信亦不用等太久。<br/>先點了一份椒鹽酥肉，一上枱已相當香，咬一口，肉質軟身，滲出淡淡的肉汁，證明師傅控制燶侯恰當，發揮出肉最好的質素，最加上旁邊有點點辣口的佐料，可為味蕾帶上點點的刺激，作開胃菜相當一流。<br/>然後是今天的重點美食片皮鴨，有片胸皮、胸肉及腿肉，而且份量亦較多，鴨油香濃厚，鴨肉則較結實，配上青瓜、黃麵醬與薄餅進食，食到最原始的風味。<br/>然後是金銀蒸娃娃菜，不得不說，粉絲完全吸收了香味，淡淡都食得出香味，配上娃娃菜的咬口口感，相當出色。



    






</section>"
