,id,name,address,like_nums,bookmark
0,582286,Jin Gong Guan (Kornhill Plaza) 金公館 (康怡廣場),"Shop T4, 3/F, Kornhill Plaza, 1-2 Kornhill Road, Tai Koo",199,3599
1,658030,Bai Fung Bento (Cityplaza) 百芳池上便當 (太古城中心),"Shop L111, Eslite Spectrum, 1/F, Cityplaza, 18 Taikoo Shing Road, Tai Koo",96,4345
2,478507,Mr. Steak Seafood.Steak (Kornhill Plaza) 牛扒先生 (康怡廣場),"Shop G9-10, G/F, Kornhill Plaza North, 1-2 Kornhill Road, Tai Koo",114,5599
3,82173,The Graces Restaurant (Kornhill Plaza) 玉桃軒酒家 (康怡廣場),"Shop M1, M/F, Kornhill Plaza North, 1-2 Kornhill Road, Tai Koo",245,3657
4,42063,FEAST (Food By EAST),"1/F, EAST Hong Kong, 29 Taikoo Shing Road, Tai Koo",144,15766
5,531871,Quattro's Kitchen,"Shop G04, G/F, AEON, Kornhill Plaza South, 1-2 Kornhill Road, Tai Koo",95,4211
6,666527,Chun Shui Tang (Cityplaza) 春水堂 (太古城中心),"Shop 102, 1/F, Cityplaza, 18 Taikoo Shing Road, Tai Koo",26,3234
7,620774,Rakuraku Ramen (Kornhill Plaza) Rakuraku 樂拉麵 (康怡廣場),"Shop F10, 1/F, Kornhill Plaza North, 1-2 Kornhill Road, Tai Koo",39,1064
8,308383,PizzaExpress (Kornhill Plaza) PizzaExpress (康怡廣場),"Shop G2, G/F, Kornhill Plaza North, 1-2 Kornhill Road, Tai Koo",31,2884
9,513383,TeaWood Taiwanese Cafe & Restaurant 茶木‧台式休閒餐廳,"Shop M4, M/F, Kornhill Plaza North, 1-2 Kornhill Road, Tai Koo",34,1434
10,525800,KYO Watami (Kornhill Plaza) 饗和民 (康怡廣場),"Shop G7-G8, G/F, Kornhill Plaza North, 1-2 Kornhill Road, Tai Koo",48,4359
11,577690,On-Yasai (Cityplaza) 温野菜 (太古城中心),"Shop 309, 3/F, Cityplaza, 18 Taikoo Shing Road, Tai Koo",25,2106
12,497112,Cow Bean (康怡廣場),"Shop L301, 3/F, AEON, Kornhill Plaza South, 1-2 Kornhill Road, Tai Koo",29,1987
13,478199,La'taste Vietnamese Cuisine (Kornhill Plaza) 品越越式料理 (康怡廣場),"Shop 7, 1/F, Kornhill Plaza North, 1-2 Kornhill Road, Tai Koo",36,4250
14,471851,The Spaghetti House 意粉屋,"Shop 142, 1/F, Cityplaza,18 Taikoo Shing Road, Tai Koo",31,1438
